timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
65,0.65,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06126404,0.1118469,-1.071869,25.67545,13.07468,-24.05469,281.7704,294.1304,25,0.02175882,-0.0281347,-0.05853335,0.3882356,-0.01176029,-0.08188892,0.03067478,-0.01387706,-0.00419173,-0.05738645,-0.03596003,0.05308335
66,0.66,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.006744385,0.09378052,-1.109085,25.67545,13.07468,-24.05469,281.7704,294.1304,25,0.03494973,-0.02032818,-0.04252003,0.3879391,-0.01529364,-0.08117458,0.01949679,-0.006739786,0.000561346,-0.0843972,-0.01561,0.05007265
67,0.67,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.05041504,0.1198273,-0.995575,25.85236,12.96851,-24.70261,281.7529,294.1129,25,0.05111485,-0.03230201,-0.04718802,0.3879391,-0.01529364,-0.08117458,0.01949679,-0.006739786,0.000561346,-0.0843972,-0.01561,0.05007265
68,0.68,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.09967041,0.1091156,-0.8991089,25.85236,12.96851,-24.70261,281.7529,294.1129,25,0.06849677,-0.04912467,-0.0382864,0.3882328,-0.01539295,-0.08041447,0.04885282,-0.01090717,0.01190649,0.02208698,0.01345268,-0.1124347
69,0.69,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03227234,0.08636475,-1.016861,25.99389,12.89773,-24.83902,281.7332,294.0932,25,0.06849677,-0.04912467,-0.0382864,0.3882328,-0.01539295,-0.08041447,0.04885282,-0.01090717,0.01190649,0.02208698,0.01345268,-0.1124347
70,0.7,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03227234,0.08636475,-1.016861,25.99389,12.89773,-24.83902,281.7332,294.0932,25,0.06849677,-0.04912467,-0.0382864,0.3882328,-0.01539295,-0.08041447,0.04885282,-0.01090717,0.01190649,0.02208698,0.01345268,-0.1124347
71,0.71,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03227234,0.08636475,-1.016861,25.99389,12.89773,-24.83902,281.7332,294.0932,25,0.06849677,-0.04912467,-0.0382864,0.3882328,-0.01539295,-0.08041447,0.04885282,-0.01090717,0.01190649,0.02208698,0.01345268,-0.1124347
72,0.72,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.1354523,0.04156494,-0.9885406,26.1708,12.86235,-24.8049,281.7117,294.0717,25,0.02138758,-0.0071663,-0.06241358,0.3888977,-0.01388728,-0.07857358,0.02508048,0.01936355,0.005285317,-0.1009021,0.02253569,-0.07386015
73,0.73,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.07983398,0.02110291,-0.9601898,26.24157,12.57925,-24.94131,281.6846,294.0446,25,0.03993091,-0.02026106,-0.05476471,0.3888968,-0.01368682,-0.07839402,0.01912433,0.01423826,-0.003319219,-0.1218079,-0.0367488,0.008294738
74,0.74,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.02070618,-0.01300049,-1.078766,26.24157,12.57925,-24.94131,281.6846,294.0446,25,0.03420697,-0.04139058,-0.05339212,0.3889249,-0.01366686,-0.07801232,0.03770366,0.001096975,0.00520307,-0.06620912,-0.05683032,0.03667565
75,0.75,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.01776123,0.09057617,-1.075928,25.99389,12.82696,-24.83902,281.6641,294.0241,25,0.01173362,-0.022129,-0.04147234,0.3890012,-0.01378318,-0.07762235,0.03197973,-0.02003259,0.006575531,-0.006964933,-0.09054492,-0.08187167
76,0.76,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.05403137,0.1305389,-1.087097,25.99389,12.82696,-24.83902,281.6641,294.0241,25,0.01173362,-0.022129,-0.04147234,0.3890012,-0.01378318,-0.07762235,0.03197973,-0.02003259,0.006575531,-0.006964933,-0.09054492,-0.08187167
77,0.77,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.05403137,0.1305389,-1.087097,25.99389,12.82696,-24.83902,281.6641,294.0241,25,-0.0004492753,-0.02001445,-0.05388161,0.3890012,-0.01378318,-0.07762235,0.03197973,-0.02003259,0.006575531,-0.006964933,-0.09054492,-0.08187167
78,0.78,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.05403137,0.1305389,-1.087097,25.99389,12.82696,-24.83902,281.6641,294.0241,25,-0.0004492753,-0.02001445,-0.05388161,0.3890012,-0.01378318,-0.07762235,0.03197973,-0.02003259,0.006575531,-0.006964933,-0.09054492,-0.08187167
79,0.79,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.05403137,0.1305389,-1.087097,25.99389,12.82696,-24.83902,281.6641,294.0241,25,-0.0004492753,-0.02001445,-0.05388161,0.3890012,-0.01378318,-0.07762235,0.03197973,-0.02003259,0.006575531,-0.006964933,-0.09054492,-0.08187167
